voltage mean,voltage std,voltage kurtosis,voltage skewness,CC Q,CC charge time,voltage slope,voltage entropy,current mean,current std,current kurtosis,current skewness,CV Q,CV charge time,current slope,current entropy,cycle,temp_C,temp_K,condition_id,capacity
4.372838208038883,0.05202923240937463,4.581306938267971,-1.7416871101765825,1.7244584253201318,1920.4594960000004,3.066094898144239e-05,-569.3784105310723,1.3929234873639407,0.5508807369083981,2.0547020654011314,0.43448131788043415,1.0971907778939936,2889.3209000000006,-0.0006554606413749633,7.531889062627942,1.0,10.0,283.15,1.0,1.0
4.374360418319702,0.05161971728040098,5.1599216103211525,-1.8828823704658297,4.127584777672059,4508.092291999999,5.5609766822322e-06,-613.0180526409517,1.3977136734204414,0.5587976589158264,2.00996718540907,0.43380607554010875,1.8837335617260513,4791.061403999997,-7.439698483342097e-05,7.521782927322426,2.0,10.0,283.15,1.0,0.992318138641089
4.377249069603122,0.048710712043315306,6.017171136277791,-2.0841267466890376,3.778820145643685,4155.176491999997,5.4699135514810966e-06,-584.9328421675455,1.3787334084510803,0.5554885033570304,2.0006575259207424,0.43646354958140704,1.9037129206277643,4796.541952000007,-7.640199279908227e-05,7.092552204004085,3.0,10.0,283.15,1.0,1.002473424082509
4.373286192233746,0.05517574392951124,5.297171901542024,-1.9287754056964999,3.0549765898710786,3393.0478840000033,7.57169745316867e-06,-566.38089346486,1.3684977370423157,0.555398147370966,2.090808716124346,0.49200833633942703,1.588261920312294,4558.391184,-7.513910226976019e-05,6.866569489083425,4.0,10.0,283.15,1.0,1.0344009983510054
4.3786793662468915,0.04823150151495972,6.387245950229761,-2.1838716527853896,3.523223959284574,3863.9362839999885,1.7560480706904118e-06,-622.9009318101728,1.3998390888345653,0.5598589257421548,2.0360862464282454,0.4049102929773549,2.0839916932124667,5205.069231999987,-3.513724937602911e-05,7.335951179401819,5.0,10.0,283.15,1.0,1.009093620850342
4.38141868105926,0.046490618021763006,7.811010259818896,-2.470930940030081,3.091653658669889,3336.344628000006,-5.840872580533974e-07,-620.6243643414937,1.3576129050481887,0.5270795576706738,2.217305836212324,0.4609538907599159,2.723766577054411,7317.374727999984,-4.2790881185193546e-06,7.005997725340474,6.0,10.0,283.15,1.0,1.0122287695274563
4.37906337274264,0.050907023537306625,7.261111771227439,-2.3710613796485625,3.3202887410876483,3585.492055999988,-7.008170973493469e-07,-604.6005994274609,1.3047385345805775,0.5157644369982938,2.74260751579171,0.7786704092750024,2.669085176575843,7869.930656000004,8.523431766393261e-06,6.5404679726102914,7.0,10.0,283.15,1.0,1.0120137032557082
4.375519652745714,0.0517975159342463,5.503957833257098,-1.983717076805317,3.6232911440088107,4056.908324000011,3.196508964179417e-06,-575.8201916561919,1.4029075821484525,0.5776855881621605,2.03224711322775,0.46438602448079636,1.6736981190327207,4891.275323999995,-5.241458206897613e-05,7.455629019031317,8.0,10.0,283.15,1.0,1.0118493677037392
4.374311962834111,0.05692645777883673,5.887325295245862,-2.08722428589372,3.2019523750519046,3325.5680679999787,-4.827860807860113e-07,-591.7387209952041,1.3388148570547298,0.5508584359224115,2.4103952797315973,0.6583833746981974,2.183618578270265,5988.228020000017,6.311123783810786e-06,6.595827034402376,9.0,10.0,283.15,1.0,1.012651363362296
4.377390306906639,0.04946067706740939,5.92380459066521,-2.0803252266210035,3.4449085147004928,3570.217739999971,2.350847007615707e-06,-636.6815196329547,1.4047157066624338,0.5883572235749773,2.074695989396974,0.49704098369742084,1.988561270500917,5170.042655999969,-4.112426686702455e-05,6.945801575268654,10.0,10.0,283.15,1.0,1.0120904970147668
